Year,USA,China,India,Russia
1960,180671000,667070000,449661874,119897000
1961,183691000,660330000,458691457,121236000
1962,186538000,665770000,468054145,122591000
1963,189242000,682335000,477729958,123960000
1964,191889000,698355000,487690114,125345000
1965,194303000,715185000,497920270,126745000
1966,196560000,735400000,508402908,127468000
1967,198712000,754550000,519162069,128196000
1968,200706000,774510000,530274729,128928000
1969,202677000,796025000,541844848,129664000
1970,205052000,818315000,553943226,130404000
1971,207661000,841105000,566605402,131155000
1972,209896000,862030000,579800632,131909000
1973,211909000,881940000,593451889,132669000
1974,213854000,900350000,607446519,133432000
1975,215973000,916395000,621703641,134200000
1976,218035000,930685000,636182810,135147000
1977,220239000,943455000,650907559,136100000
1978,222585000,956165000,665936435,137060000
1979,225055000,969005000,681358553,138027000
1980,227225000,981235000,697229745,139010000
1981,229466000,993885000,713561406,139941000
1982,231664000,1008630000,730303461,140823000
1983,233792000,1023310000,747374856,141668000
1984,235825000,1036825000,764664278,142745000
1985,237924000,1051040000,782085127,143858000
1986,240133000,1066790000,799607235,144894000
1987,242289000,1084035000,817232241,145908000
1988,244499000,1101630000,834944397,146857000
1989,246819000,1118650000,852736160,147721000
1990,249623000,1135185000,870601776,148292000
1991,252981000,1150780000,888513869,148624000
1992,256514000,1164970000,906461358,148689000
1993,259919000,1178440000,924475633,148520000
1994,263126000,1191835000,942604211,148336000
1995,266278000,1204855000,960874982,148375726
1996,269394000,1217550000,979290432,148160042
1997,272657000,1230075000,997817250,147915307
1998,275854000,1241935000,1016402907,147670692
1999,279040000,1252735000,1034976626,147214392
2000,282162411,1262645000,1053481072,146596557
2001,284968955,1271850000,1071888190,145976083
2002,287625193,1280400000,1090189358,145306046
2003,290107933,1288400000,1108369577,144648257
2004,292805298,1296075000,1126419321,144067054
2005,295516599,1303720000,1144326293,143518523
2006,298379912,1311020000,1162088305,143049528
2007,301231207,1317885000,1179685631,142805088
2008,304093966,1324655000,1197070109,142742350
2009,306771529,1331260000,1214182182,142785342
2010,309346863,1337705000,1230984504,142849449
2011,311718857,1344130000,1247446011,142960868
2012,314102623,1350695000,1263589639,143201676
2013,316427395,1357380000,1279498874,143506911
2014,318907401,1364270000,1295291543,143819569
2015,321418820,1371220000,1311050527,144096812
